title , platform , release_date , developer , genres , reviewer , metascore , review
The Legend of Zelda: Ocarina of Time,Nintendo 64,Nov-23-1998,Nintendo,Action Adventure | Fantasy,Gaming Maxx,100,Nothing but pure 100% fun challenging and lengthy.
Tony Hawk's Pro Skater 2,PlayStation,Sep-20-2000,Neversoft Entertainment,Sports | Alternative | Skateboarding,CNET Gamecenter,100,The best skateboarding game ever and one of the greatest PlayStation games of all time.
Grand Theft Auto IV,PlayStation 3,Apr-29-2008,Rockstar North,Action Adventure | Modern | Modern | Open-World,Jolt Online Gaming UK,100,Grand Theft Auto IV is not a perfect game but it is fantastic through and through from start to finish and beyond. It is so massive vast and impressive that it is almost mind-boggling to imagine how much work must have gone into the game to come up with so much detail.
SoulCalibur,Dreamcast,Sep-8-1999,Namco,Action | Fighting | 3D,CheckOut,100,I guarantee you'll be amazed at how phenomenal this game looks and you won't be able to put it down.
Grand Theft Auto IV,Xbox 360,Apr-29-2008,Rockstar North,Action Adventure | Modern | Modern | Open-World,Official Xbox Magazine UK,100,It's got a world you believe in a cast you care about and a script stuffed with brilliant moments... Utterly stunning in every resepct. [May 2008 p.79]
Super Mario Galaxy,Wii,Nov-12-2007,Nintendo,Action | Platformer | Platformer | 3D | 3D,NTSC-uk,100,Mario has not grown older but younger with time: more slender more supple more graceful. It is as if the boundaries of the genre have become transparent allowing a unique light to shine forth. Super Mario Galaxy will influence gaming perceptions sure to replenish any lost passion. It will frequently hug your inner child evoke tears of joy and tug at the heart. It is everything we have always desired more than we could possibly have dreamed.
Super Mario Galaxy 2,Wii,May-23-2010,Nintendo EAD Tokyo,Action | Platformer | Platformer | 3D | 3D,Gamereactor Sweden,100,Improves on the first game and charms every bone of our game-loving bodies. With platforming and visual design of astronomical proportions this is the best game for Wii so far.
Red Dead Redemption 2,Xbox One,Oct-26-2018,Rockstar Games,Action Adventure | Open-World,GamingTrend,100,Red Dead Redemption 2 raises the bar for sandbox adventure games. It’s organic in a way almost unseen in any genre creating an authentic open world that is as cohesive as it is compelling. This title will set the bar for action adventure games for years to come.
Grand Theft Auto V,Xbox One,Nov-18-2014,Rockstar North,Action Adventure | Modern | Open-World,X-ONE Magazine UK,100,It’s just a great game tying to be even better. In some cases it works in other cases it doesn’t. But ultimately if the idea of playing a superior version of one of the best games of all time appeals to you (and why wouldn’t it?) then this is a more than worthy excuse for a double-dip.
Grand Theft Auto V,PlayStation 3,Sep-17-2013,Rockstar North,Modern | Action Adventure | Modern | Open-World,LEVEL (Czech Republic),100,GTA V fulfills the idea of a gaming sandbox where you can entertain yourself in many different ways - and also experience a superbly written story of three gangsters if you want. [Issue#234]
Grand Theft Auto V,Xbox 360,Sep-17-2013,Rockstar North,Modern | Action Adventure | Modern | Open-World,Quarter to Three,100,The primary accomplishment in Grand Theft Auto V isn’t gameplay. It’s character. Grand Theft Auto V believes so strongly in its characters that everything else — even gameplay — is secondary.
Tony Hawk's Pro Skater 2,Dreamcast,Nov-6-2000,Treyarch,Sports | Alternative | Skateboarding,Hot Games,100,Once you get the controls down you're in for the greatest board meeting of your life.
The Legend of Zelda: Breath of the Wild,Switch,Mar-3-2017,Nintendo,Action Adventure | Open-World,Attack of the Fanboy,100,The Legend of Zelda: Breath of the Wild is one of the best games ever made.
Tony Hawk's Pro Skater 3,PlayStation 2,Oct-28-2001,Neversoft Entertainment,Sports | Alternative | Skateboarding,G4 TV,100,A rare and beautiful thing a nearly perfect game.
Perfect Dark,Nintendo 64,May-22-2000,Rare Ltd.,Action | Shooter | First-Person | Sci-Fi,Daily Radar,100,Oh yea oh yea glory hallelujah -- this is the game we've waited so long for.
Red Dead Redemption 2,PlayStation 4,Oct-26-2018,Rockstar Games,Action Adventure | Open-World,LEVEL (Czech Republic),100,Amazing not only for Western lovers. No other game has probably offered so many options to express yourself in the open world and at the same time did not have such an interesting rough and moving story. A magnificent experience with a slightly slower start. [Issue#291]
Grand Theft Auto V,PlayStation 4,Nov-18-2014,Rockstar North,Action Adventure | Modern | Open-World,Gameplanet,100,Grand Theft Auto V for new-gen is without a doubt the best way to experience one of the biggest releases of the last half decade.
Metroid Prime,GameCube,Nov-17-2002,Retro Studios,Action | Shooter | First-Person | Sci-Fi,GameCritics,100,A shining example of how a classic videogame series can be vividly reborn. While taking an enormous amount of liberties with the original concept it manages to zero-in on the spirit of the Metroid series and hit a resounding bull's-eye.
Grand Theft Auto III,PlayStation 2,Oct-22-2001,DMA Design,Action Adventure | Modern,GamePen,100,The voice acting is simply amazing. Unlike most video games much of the voice acting is done by fairly famous names including Joe Pantoliano Michael Rapaport Kyle MacLachlan... Each delivers some of the best voice acting found in anything animated let alone video games.
Super Mario Odyssey,Switch,Oct-27-2017,Nintendo,Action | Platformer | 3D,Giant Bomb,100,Each kingdom is absolutely packed with charm clever objectives gorgeous visuals a stellar soundtrack and a huge variety of ways to have fun. One moon would have me leaping across tiny platforms with pinpoint precision and the next would have me cheering up a businessman by dressing like a clown. At no point did I feel like I was checking boxes just to up my completion percentage. Even now that I've collected every moon and purple coin in the game I still want to play more of it. It’s one of the most joyous and entertaining gaming experiences I’ve had in a long time and it stands tall among the all-time great Mario games.
Halo: Combat Evolved,Xbox,Nov-14-2001,Bungie Software,Action | Shooter | First-Person | Sci-Fi,GamePro,100,This immersive sci-fi epic delivers both an expansive story and electrifying first-person combat making it one of 2001's best games.
NFL 2K1,Dreamcast,Sep-7-2000,Visual Concepts,Sports | Traditional | Football | Sim,GamePro,100,With improvements made over the already incredible "NFL 2K" this year's NFL game on the Dreamcast is all a football fan could wish for.
Half-Life 2,PC,Nov-16-2004,Valve Software,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,Gaming Age,100,Where it goes beyond a typical first person shooter is in its story telling. The graphics engine is so realistic that you feel like you are participating in a movie. The character's facial animation is incredible. It's done so well you can get a sense of how the characters are feeling.
Grand Theft Auto V,PC,Apr-13-2015,Rockstar North,Modern | Action Adventure | Open-World,Gamer.nl,100,After the long wait PC-gamers get what they have been hoping for. We cannot deny it; the PC is the best way to experience GTA V. Rockstar optimised the game perfectly and we are happy to start our third and forth play-throughs.
The Legend of Zelda: Breath of the Wild,Wii U,Mar-3-2017,Nintendo,Fantasy | Fantasy | Action Adventure | Open-World,DarkStation,100,Does it have the best combat system in the world? No. Is it the best looking game out there? No. Does it have the best RPG soundtrack ever? No. Can the game make you feel like you are eight years old again? Hell yes. It certainly had that effect with me. It has been a long time since exploring fighting and adventuring has so consistently brought a smile to my face. Breath of the Wild is such a wonderful experience that once you play it you will likely never look at open world games the same again.
BioShock,Xbox 360,Aug-21-2007,Irrational Games | 2K Marin,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,GotNext,100,Enthralling from beginning to end and the fact that it deserves its place alongside some of the greatest games ever made is achievement enough.
GoldenEye 007,Nintendo 64,Aug-25-1997,Rare Ltd.,Action | Shooter | First-Person | Modern,Hot Games,100,One can't go without mentioning the fantastic multiplayer mode. Unlike PC shooters where ambush seems to be the name of the game GoldenEye concentrates on fast frantic fun. Everyone can see each other's screen and radar is provided for additional assistance so hiding is a virtual impossibility.
Uncharted 2: Among Thieves,PlayStation 3,Oct-13-2009,Naughty Dog,Action Adventure | Modern | Modern | Linear,Cynamite,100,Uncharted 2 is one of the most memorable video games ever created. Not because it is particularly innovative but because the mixture of shooting climbing creeping thinking laughing and simple astonishment works perfectly.
Resident Evil 4,GameCube,Jan-11-2005,Capcom,Action Adventure | Horror,Maxim Online,100,Be afraid. The intelligent fast-moving fiends who stalk special agent Leon Kennedy will almost make you yearn for the embrace of old-fashioned brain-hungry cadavers.
The Orange Box,Xbox 360,Oct-10-2007,Valve Software,Action | Miscellaneous | Shooter | Compilation | First-Person | Sci-Fi,Armchair Empire,100,Succulent and juicy sweet gaming goodness – The Orange Box is waiting to be unpeeled.
The Orange Box,PC,Oct-10-2007,Valve Software,Action | Miscellaneous | Shooter | Compilation | First-Person | Sci-Fi,Eurogamer,100,The Orange Box offers everything any fan of first-person shooters could possibly want: some of the best single-player gaming ever in the shape of Half-Life 2 and Episodes One and Two; wonderful innovation from Portal and the most refined downright fun team-based online FPS currently available in Team Fortress 2. If that doesn't warrant a 10 out of 10 nothing does.
Batman: Arkham City,PlayStation 3,Oct-18-2011,Rocksteady Studios,Action Adventure | Fantasy | Fantasy | Open-World,Playstation: The Official Magazine (US),100,Arkham City should be celebrated as a shining achievement for the action-adventure genre for its masterful execution. [Holiday 2011 p.70]
Tekken 3,PlayStation,Apr-29-1998,Namco,Action | Fighting | 3D,GamePro,100,In order to outshine Tekken 3 a game will need to have a ton of moves (T3 has over 100 per character) multi-hit combos (all T3 fighters can pull off 10-hitters) outstanding graphics (T3 has no breakup on the fighters no "blind spots" where clipping occurs and no slowdown) and seamless gameplay that includes juggles counters and linking moves.
Mass Effect 2,Xbox 360,Jan-26-2010,BioWare,Role-Playing | Action RPG | Action RPG,games(TM),100,Despite all of the ways Mass Effect 2 is more engaging to play and explore after 35 remarkable hours it was the characters that stayed with us… Game of the year in January? Oh go on then. [Feb 2010 p.112]
The Legend of Zelda: Twilight Princess,GameCube,Dec-11-2006,Nintendo,Action Adventure | Fantasy,GameSpy,100,It's an amazing epitaph to the GameCube's life and it's certainly the best game from Nintendo this year. If you've been on the fence in any capacity then please rest assured that you'll not be disappointed. Nintendo's flagship game has arrived in style and you better damned well appreciate it. It's ultimately fantastic.
