title , platform , release_date , developer , genres , reviewer , metascore , review
Dr. Seuss' The Cat in the Hat,Game Boy Advance,Nov-5-2003,Digital Eclipse,Action | General,IGN,40,Its a fairly dull game with all of its pieces done well enough there just wasnt much put into this. And as a game on its own it doesnt hold up too well.
Ducati World Racing Challenge,Dreamcast,Feb-13-2001,Attention To Detail,Driving | Racing | GT / Street,Game Revolution,25,Too many technical problems and not enough fun drive this bike straight into the ground. Youll have more fun playing Hang On again with Shenmue.
Ace Banana,PlayStation 4,Oct-13-2016,TVR,Action | General,Stevivor,35,Ace Banana in its present state is barely playable with Move controllers.
DRIV3R,PC,Mar-15-2005,Reflections Interactive,Driving | Action Adventure | Racing | Mission-based | Arcade | Mission-based | Open-World | Automobile,GameSpot,38,Just about as broken as it was on the Xbox and PlayStation 2 last year and thanks to the ill-conceived introduction of a mouse and keyboard into the mix it manages to be even worse overall.
Screwjumper!,Xbox 360,Nov-14-2007,Frozen Codebase,Action | General | General,IGN,40,Screwjumper! just should not have been green lit by Microsoft. There’s nothing redeeming about Screwjumper! no reason for anyone to give it a second look and absolutely no way you should spend ten bucks for the download.
Made Man: Confessions of the Family Blood,PC,Apr-23-2007,Silverback Studios,Action Adventure | Modern | General | Modern,PC Zone UK,39,The problems with the lack of inspiration or effort. [Christmas 2006 p.81]
Chronus Arc,3DS,Oct-1-2015,Kemco,Role-Playing | Japanese-Style,RPGamer,30,At first I was enraged when I started to get killed all the time. Then I figured out how to just grind and the game became easy again until the final boss demanded further statistic embellishment to take down. Now that I have experienced the entirety of a Kemco title I too understand why this constantly-reviled publisher gets so much flak. Maybe other games under the Kemco banner are better: it wouldnt be hard.
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Wii U,Nov-19-2013,WayForward,Action Adventure | Fantasy | General | Fantasy,Official Nintendo Magazine UK,40,It isnt terrible its just dull. [Feb 2014 p.84]
Emergency Mayhem,Wii,Apr-15-2008,Supersonic Software,Driving | Racing | Mission-based | Arcade | Mission-based | Automobile,GameShark,33,The game is extremely easy to finish in a single afternoon. Not that you should play it mind you. There are far better choices out there than Emergency Mayhem.
Protothea,Wii,Jun-2-2008,Digital Builders | Sabarasa Entertainment,Action | Shooter | Shooter | Scrolling | Scrolling | Shoot-'Em-Up | Vertical,GamePro,30,Protötheas music is the worst offender though -- its muffled tunelessness recalls the early days of hack composers attempting to extract vaguely music-like noise from the Super NESs default sound libraries. Expect lots of muddy bass and cheesy synth guitars.
