title , platform , release_date , developer , genres , reviewer , metascore , review
Super Mega Baseball 3,Xbox One,May-13-2020,Metalhead Software,Sports | Team | Baseball | Arcade,Forbes,95,In the same way that Fortnite perfectly captures its objective with visuals SMB 3 nails their comedic caricatures on the diamond.
WarioWare: Smooth Moves,Wii,Jan-15-2007,Intelligent Systems,Miscellaneous | Party | Party | Party / Minigame,Detroit Free Press,100,The party-style game play in Smooth Moves is one of the young Wiis better experiences. It offers fun easy-to-learn things to do that show off what the system does so well and puts your movements in the game.
Tiger Woods PGA Tour 06,PlayStation 2,Sep-20-2005,EA Sports,Sports | Traditional | Golf | Sim,BonusStage,94,Other than the sound Tiger Woods PGA Tour 06 does everything needed to help give the franchise a breath of fresh air. It’s nice to see that EA Sports can do more than just throw in one new play or change one part of a game.
The Sexy Brutale,PC,Apr-11-2017,Tequila Works | Cavalier Game Studios,Adventure | General,PC PowerPlay,100,Brilliant execution of a unique premise. A definite contender for game of the year so far. [Issue#262 p.61]
MLB 14: The Show,PlayStation 4,May-6-2014,SCEA San Diego Studios,Sports | Traditional | Team | Baseball | Sim | Sim,ZTGD,90,MLB 14: The Show is a fantastic first offering on a new platform. I am impressed that every single feature is included and the visuals are truly stunning.
Helldivers,PC,Dec-7-2015,Arrowhead Game Studios,Action | Shooter | Third-Person | Arcade,GameWatcher,95,HellDivers is one of the best multiplayer games of the year.
Project CARS,PlayStation 4,May-12-2015,Slightly Mad Studios,Driving | Racing | Simulation | General | Automobile,Hobby Consolas,93,With Project CARS Slightly Mad Studios brings us the first great racing simulator for the next generation. Its huge offer of content and its passion for cars take it to the top of the podium.
Worldwide Soccer Manager 2009,PC,Nov-18-2008,Sports Interactive,Sports | Traditional | Team | Soccer | Management | Management,MEGamers,94,Another FM for the ages. Every football fan out there should go out and grab a copy of this game now.
Call of Duty: World at War,PC,Nov-10-2008,Treyarch,Action | Shooter | Shooter | First-Person | Historic | Historic | Arcade,Cheat Code Central,96,Treyarch came back this year with an excellent addition to the franchise. Many gamers may look at this game with an Ive been there done that attitude. I am here to tell you that this is the best WWII effort so far as well as the best game in the franchise.
Torchlight,PC,Oct-27-2009,Runic Games,Role-Playing | Action RPG | Action RPG,GameShark,100,You may not have heard of it but you owe it to yourself to play this game.
FIFA 19,PlayStation 4,Sep-25-2018,EA Sports,Sports | Team | Soccer | Sim,Gaming Age,100,Regardless of what you want out of a soccer game FIFA continues to deliver an incredible all-around experience.
