title , platform , release_date , developer , genres , reviewer , metascore , review
NBA 2K13,PlayStation 3,Oct-2-2012,Visual Concepts,Sports | Traditional | Team | Basketball | Sim | Sim,Playstation: The Official Magazine (US),100,The all-new Control Stick system highlights this year's gameplay improvements allowing more precise ball handling through the Right-analog stick. [Dec 2012 p.82]
Grand Theft Auto IV,PC,Dec-2-2008,Rockstar Toronto,Action Adventure | Modern | Modern | Open-World,Meristation,100,Grand Theft Auto IV means the matureness for Rockstar abandoning -though not completely- all its insane humor and arcade action this chapter of Niko Bellic captures the essence of the american society with black humor great narrative and the characteristic 'sandbox' gameplay that the franchise has featured all this years. For the PC version all stays the same: only the great technical optimization the original video-editor and the 32 players online modes are present as news. But when you leave a masterpiece exactly the same its a right move.
Total War: Shogun 2,PC,Mar-15-2011,Creative Assembly,Strategy | Turn-Based | Historic | General | Historic,The A.V. Club,100,It's the ideal example of evolution trumping revolution in creating great video games.
Empire: Total War,PC,Mar-3-2009,Creative Assembly,Strategy | Real-Time | Historic | General | Historic,GameSpy,100,The simplified interface elements great campaign and much-improved map and information screens make this the most accessible Total War yet and a great place for those unfamiliar with the series to get started.
Rayman Legends,Xbox 360,Sep-3-2013,Ubisoft Montpellier,Action | Platformer | Platformer | 2D | 2D,Games.cz,100,When someone brings an excellent title and then announces they are planning a sequel you automatically expect and sometimes you are right that the next installment won't beat the original. However Rayman Legends traverses this belief with its unshaken confidence and it sets forward the whole Rayman series to the new LEGENDARY level.
Astro Bot: Rescue Mission,PlayStation 4,Oct-2-2018,JapanStudio,Action Adventure | General,Impulsegamer,100,Astro Bot Rescue Mission is not only the best PSVR title to date but also arguably the best platformer of this generation so far.
Bayonetta + Bayonetta 2,Switch,Feb-16-2018,PlatinumGames,Miscellaneous | Compilation,New York Daily News,100,It all adds up to one of the must-have games on the Switch alongside Super Mario Odyssey The Legend of Zelda: Breath of the Wild and Skyrim. Still need a reason to buy a Switch? You’re all out of them.
Kentucky Route Zero - Act IV,PC,Jul-20-2016,Cardboard Computer,Adventure | General,Destructoid,100,Kentucky Route Zero Act IV is fu*king fantastic.
Guacamelee! Super Turbo Championship Edition,Wii U,Jul-2-2014,DrinkBox Studios,Action | Platformer | 2D,Nintendojo,100,The game makes extensive use of a mechanic reminiscent of the best 2D Zelda titles and familiar sounding riffs feature in the music from time to time. It’s pleasing and a significant achievement then that none of this is at the expense of Guacamelee’s own identity.
NBA 2K12,Xbox 360,Oct-4-2011,Visual Concepts,Sports | Traditional | Team | Basketball | Sim | Sim,Giant Bomb,100,Were it not for the online issues NBA 2K12 would be the closest thing to a "perfect" video game basketball experience we have yet come to. In fact it still probably is. This is one of those rare sports games where the offline content nearly made me forget about the online component.
ESPN NHL Hockey,PlayStation 2,Sep-9-2003,Kush Games,Sports | Traditional | Ice Hockey | Sim,Play Magazine,100,The true star of the ESPN NHL Hockey is the play-by-play commentary. Courtesy of ESPN's Gary Throne and Bill Clement this is some of the best commentary I've ever heard in a hockey game. [Jan 2004 p.80]
