title , platform , release_date , developer , genres , reviewer , metascore , review
Alien Breed (PS Mobile),PlayStation Vita,Nov-14-2012,Team17,Action | General | General | Shooter | Shoot-'Em-Up | Top-Down,ZTGD,80,Alien Breed offers fans much more than just a re-release. With an updated version of the game online co-op cross play between the PS3 and Vita and universal level and gun unlocks players can enjoy the game in just about any way they want. If you’ve never played the game before it’s probably not the best use of your money but fans will enjoy the ability to relive their memories while also creating new ones.
My Hero One's Justice 2,PlayStation 4,Mar-13-2020,Bandai Namco Games,Action | Fighting | 3D,GameCrate,83,My Hero One’s Justice 2 is an anime arena fighter with really good ideas. It probably won’t see anyone if they aren’t already My Hero Academia fans but anyone who is already in the fanbase will eat it up. And hey if you aren’t a fan but get a chance to play anyway give it a shot it might just surprise you.
Blinx 2: Masters of Time & Space,Xbox,Nov-18-2004,Artoon,Action | Platformer | 3D,Play Magazine,91,This is just masterful game making pure and simple. [Dec 2004 p.66]
Ghostbusters: The Video Game Remastered,Xbox One,Oct-4-2019,Saber Interactive,Action | General,TheXboxHub,80,Ghostbusters: The Video Game Remastered on Xbox One remains as fun and nostalgic as it did in 2009. With punchy combat creepy exploration and a hilarious script that’s beautifully voice acted it’s hard not to recommend this Halloween treat.
Hexyz Force,PSP,May-24-2010,Sting,Role-Playing | Console-style RPG | Console-style RPG | Japanese-Style,RPG Fan,87,The game was unputdownable for me and I think its a fine addition to any PSP owners library.
Harry Potter and the Goblet of Fire,DS,Nov-8-2005,Magic Pockets,Action Adventure | Fantasy | General | Fantasy,Next Level Gaming,81,It makes really nice use of the DS features both in the story mode and the mini-games and shows you exactly what the system was intended to do.
Yooka-Laylee,PlayStation 4,Apr-11-2017,Playtonic Games,Action | Platformer | 3D,Areajugones,90,Yooka-Laylee is the triumphant return of the true platform games. Playtonic has managed to mix everything good of this genre and turn it into something fresh and wonderful.
Suikoden Tactics,PlayStation 2,Nov-8-2005,Konami,Strategy | Turn-Based | Fantasy,RPG Fan,90,I wish the game had been a bit longer but there is a new game+ option and I didnt manage to get everything the first time around so there should be some good replay value in it for me.
NBA Playgrounds,PlayStation 4,May-9-2017,Saber Interactive,Sports | Team | Basketball | Arcade,Video Chums,80,If you dig arcade basketball then NBA Playgrounds is a great addition to the genre. Ballers of all skill levels can find something to love in its enjoyably cartoony take on the sport although your b-ball career may be over well before youd expect it to.
Strike Suit Zero: Director's Cut,PlayStation 4,Apr-8-2014,Born Ready Games,Action | Simulation | Flight | Combat,Playstation Official Magazine UK,80,The theatre of destruction around your ship will leave you in awe. [June 2014 p.90]
Space Giraffe,Xbox 360,Aug-22-2007,Llamasoft,Action | Shooter | Shooter | Static | Static | Shoot-'Em-Up | Top-Down,Hardcore Gamer,100,Most importantly Space Giraffe is pure addictive fun constantly demanding one more round as the pulsing light melts your eyes out of their sockets. [Oct 2007 p.66]
G-Force,Xbox 360,Jul-21-2009,Eurocom Entertainment Software | Eurocom,Action | General | Platformer | 3D,ZTGD,80,G-Force was a shock to me. Rarely do I find myself actually wanting to play a game of this type outside of reviewing it but I found myself coming back to it over and over to finish it out.
Harry Potter and the Order of the Phoenix,Xbox 360,Jun-25-2007,EA Games,Action Adventure | Fantasy | General | Fantasy,PGNx Media,85,Thanks to the top-notch production values this is an easy recommendation for fans of the books or movies.
Way of the Passive Fist,Xbox One,Mar-7-2018,Household Games Inc.,Action | Beat-'Em-Up | 2D,TheXboxHub,90,The Way of the Passive Fist is a very enjoyable game with the seamless fusion of fighting and rhythm executed brilliantly. As a concept it shouldn’t work but it just does being a lot of fun and a real challenge.
