title , platform , release_date , developer , genres , reviewer , metascore , review
NBA 2K9,Xbox 360,Oct-7-2008,Visual Concepts,Sports | Traditional | Team | Basketball | Sim | Sim,1UP,91,The game shines particularly bright in the Total Team Control mode which allows you to hook up online with nine other players for 5-on-5 basketball. This mode simulates the experience of playing an actual game of basketball more closely than any videogame I've played.
Red Faction II,PlayStation 2,Oct-15-2002,Volition Inc.,Action | Shooter | First-Person | Sci-Fi,Cinescape,100,The game looks ten times more impressive that its predecessor and really outshines almost any other console first-person shooter on the market right now. Explosions look extremely realistic and the enemies are modeled and rendered pretty well.
Disciples II: Dark Prophecy,PC,Jan-22-2002,Strategy First,Strategy | Turn-Based | Fantasy | General | Fantasy,Yahoo!,100,Outstanding in every way. All of the story elements fantasy fiction races and winning design elements have been retained albeit in greatly enhanced forms that make everything feel fresh.
Silent Hill 2: Restless Dreams,Xbox,Dec-20-2001,KCET,Action Adventure | Horror,Electric Playground,100,In a game already so dark and visually menacing the Xbox gives the phrase "jumping at your own shadow" a whole new shade of meaning.
Tony Hawk's Pro Skater 2,Nintendo 64,Aug-21-2001,Edge of Reality,Sports | Alternative | Skateboarding,Games Radar,100,There are so many modes multi-player games and features that could easily have you seeing less and less daylight as time goes on.
Frostpunk,PC,Apr-24-2018,11 bit studios,Action Adventure | Survival,Strategy Gamer,100,I’ve never cared about the people under my command in any game more than in Frostpunk. The window-dressing isn’t perfect. Aspects of the experience are frustrating; a couple of failed games can leave one a tiny weeny bit annoyed. I am not even sure if some of the scenarios are even possible! Yet if the perfect game is a series of choices where every choice has meaning then Frostpunk is it.
Fight Night Round 3,PlayStation 2,Feb-20-2006,EA Chicago,Sports | Traditional | Boxing,Game Over Online,93,A fantastic boxing title that really delivers the action in a realistic way for fight fans and those discovering the sweet science for the first time on their home console.
Just Cause 2,PC,Mar-23-2010,Avalanche Studios,Action Adventure | Modern | Modern | Open-World,DarkStation,100,Just Cause 2 sets a new standard in the sandbox genre and will be difficult to top due to its incredible graphics expansive world and extremely fun gameplay.
Football Manager 2020,PC,Nov-18-2019,Sports Interactive,Sports | Team | Soccer | Management,Daily Star,100,Football Manager is back and its focus on long-term construction of a footballing powerhouse is refreshing for a series that previously felt solely focused on the short-to-mid term. The only challenge you'll have now is keeping in the board's good graces long enough to leave your imprint on a club.
Nex Machina: Death Machine,PC,Jun-20-2017,Housemarque,Action | Shooter | Shoot-'Em-Up | Top-Down,Game Informer,93,Immaculate level design devilish enemy placement and a steady but always punishing difficulty curve help Nex Machina stand head and shoulders above most competing shooters not to mention the early arcade titles that inspired it like Robotron: 2084. That’s meaningful as Nex Machina was created in cooperation with Eugene Jarvis one of the designers of that early classic game. Nex Machina is far deeper than first impressions might suggest and can offer many hours of searing challenge presuming you’re willing to face a little eye strain. Blinking is not encouraged.
Mortal Kombat,PlayStation 3,Apr-19-2011,NetherRealm Studios,Action | Fighting | Fighting | 2D | 2D,GamerNode,100,Mortal Kombat is BACK. Remember how you felt when you walked through the arcade and saw MK for the first time? That feeling will come shooting back as soon as you put the disc in. FIGHT!
Streets of Rage 4,PC,Apr-30-2020,Lizardcube,Action | Beat-'Em-Up | 2D,DarkStation,100,Streets of Rage 4 left me feeling like a ten-year-old kid playing his Genesis again while still managing to bring modern gameplay and variety to a classic series. There was no way for me to keep my expectations low with this series returning yet Lizardcube still managed to blow those expectations away. I can say without hesitation that this is the pinnacle of a long-dormant series and genre; a game I'm confident I'll be returning to for years to come.
