title , platform , release_date , developer , genres , reviewer , metascore , review
Call of Juarez: The Cartel,PlayStation 3,Jul-19-2011,Techland,Action | Shooter | Shooter | First-Person | Historic | Modern | Modern | Arcade,GameFocus,51,What I played this last week was one of the least enjoyable video game experiences Ive ever had and I would be extremely surprised if there were to be a fourth game in this franchise. Not only is the game full of miserable characters its also lacking the polish consumers should expect of a finished game.
Dead Horde,PC,Jul-27-2011,DNS Development,Action Adventure | Horror,Eurogamer,50,Its competent. Solid. Inoffensive. Somewhere down the line DnS Development got mired in the details and neglected to inject the spark necessary to make the run-and-gun fun.
Mr. Driller Online,Xbox 360,Apr-2-2008,Namco Bandai Games,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,games(TM),60,Lets hope Namco has a patch in the pipeline. [June 2008 p.124]
Infinity Runner,PlayStation 4,Apr-21-2015,Wales Interactive Ltd.,Action | General,Gaming Nexus,65,Infinity Runner does provide a few moments of intense fun. Unfortunately those moments are broken up too often with gameplay choices that really bring the game (and the fun) to a screeching halt.
Grooverider Slot Car Thunder,Xbox,Sep-26-2003,King of the Jungle,Driving | Racing | Arcade,GameZone,58,Unforgiving AI lack of play options to customize your game and the annoying fact that you can’t restart a race during a championship really can make the game more aggravating than enjoyable.
Generation Zero,PlayStation 4,Mar-26-2019,Avalanche Studios,Action Adventure | Open-World,PlayStation Country,60,I find Generation Zero to have an interesting stealthy core that sadly is undermined by a somewhat empty world. The technical issues might lead some to hold off and I do hope Avalanche keep supporting this blueprint. There is an appeal to this that does want me to return providing something more is on the horizon.
Hard Truck: Apocalypse,PC,Jun-26-2006,Buka Entertainment | Targem Games,Simulation | Driving | Car Combat | Car Combat | Vehicle | Combat,Next Level Gaming,50,The problem is that they failed at making either the storyline or the action engaging and fun.
Hard Rock Casino,PlayStation 2,Nov-27-2006,Farsight Studios,Miscellaneous | Parlor | Gambling,IGN,45,Mixing a ton of casino games into one package and then tying a goal-based story around it certainly works on paper but when you use low-budget implementations of each and every game to put it together the whole thing falls apart.
Hyperdimension Neptunia,PlayStation 3,Feb-15-2011,Idea Factory | Compile Heart,Role-Playing | General | General | Japanese-Style,GamingXP,65,Generally Hyperdimension Neptunia is certainly not the worst RPG on the PS3. However in order to be included in the major leagues the game lacks a lot.
Bravo Team,PlayStation 4,Mar-6-2018,Supermassive Games,Action | Shooter | First-Person | Arcade,Eurogamer Italy,60,Supermassive Games delivers an unimpressive on-rail shooter with some light co-op tactical features.
Rodea the Sky Soldier,3DS,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,Gameplanet,45,Rodea the Sky Soldier has the odd interesting idea but numerous gameplay problems betray its troubled development.
Smart Bomb,PSP,May-10-2005,Core Design Ltd.,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,Next Level Gaming,54,There are better puzzle games out there and games that do not pretend to be something they are not.
Catwoman,Xbox,Jul-20-2004,EA Games,Action Adventure | Modern,GameZone,55,Thanks to its many glaring flaws such as awful camera and awkward combat controls Catwoman isn’t much fun to play even with the cool feline abilities.
