title , platform , release_date , developer , genres , reviewer , metascore , review
Call of Juarez: The Cartel,PlayStation 3,Jul-19-2011,Techland,Action | Shooter | Shooter | First-Person | Historic | Modern | Modern | Arcade,GameSpot,55,Some distinguishing features give this shooter a touch of class but bugs and execution flaws cast a long shadow over Call of Juarez: The Cartel.
Dead Horde,PC,Jul-27-2011,DNS Development,Action Adventure | Horror,Pelit (Finland),60,Dead Horde is dead awful. [Sept 2011]
Mr. Driller Online,Xbox 360,Apr-2-2008,Namco Bandai Games,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,Official Xbox Magazine UK,80,Sugary sweet and addictive puzzle fun. [May 2008 p.93]
Infinity Runner,PlayStation 4,Apr-21-2015,Wales Interactive Ltd.,Action | General,TheSixthAxis,70,The motion controls aren’t the best and I wouldn’t recommend using them while the stuttering on the loading screens also needs addressing. If you’re looking for a small game to play though and like first person runners then Infinity Runner could well be for you.
Grooverider Slot Car Thunder,Xbox,Sep-26-2003,King of the Jungle,Driving | Racing | Arcade,Xbox Nation Magazine,60,Everything about it screams budget sure but there are much worse full-priced games on the Xbox. [Oct/Nov 2003 p.99]
Generation Zero,PlayStation 4,Mar-26-2019,Avalanche Studios,Action Adventure | Open-World,PlayStation LifeStyle,65,The gameplay loop of loot shoot and run all feels good and I’d like to see more story added to the game. Also it would be great if there were more machines more weapons and proper difficulty scaling for players who want to play by themselves. Above all the world is just too big.
Hard Truck: Apocalypse,PC,Jun-26-2006,Buka Entertainment | Targem Games,Simulation | Driving | Car Combat | Car Combat | Vehicle | Combat,Computer Games Magazine,50,Given the decidely mixed gameplay you have to have a certain love of kitsch to get far in Hard Truck Apocalypse. [Oct. 2006 p.68]
Hard Rock Casino,PlayStation 2,Nov-27-2006,Farsight Studios,Miscellaneous | Parlor | Gambling,Operation Sports,60,For $20 you get a variety of games that is far beyond anything else that I’ve played on the PS2. The game plays well if you don’t feel like you have to have a deep and detailed story mode.
Hyperdimension Neptunia,PlayStation 3,Feb-15-2011,Idea Factory | Compile Heart,Role-Playing | General | General | Japanese-Style,Eurogamer Italy,70,This game is for gamers who love jrpg manga anime moe and those kinds of entertainment. The main concept is funny enough to catch the players interest and the gameplay is quite good. Unfortunatly the graphs engine is old and clumsy.
Bravo Team,PlayStation 4,Mar-6-2018,Supermassive Games,Action | Shooter | First-Person | Arcade,SpazioGames,65,Bravo Team is a good game that manages to recreate the feeling of collaborative shooters from the old days.
Rodea the Sky Soldier,3DS,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,NintendoWorldReport,50,There’s moments of fun to be found here but I think I’d be better suited trying my luck on the consoles – at least there I can expect a solid framerate and finer camera control. But the search for a quality 3DS character action game will have to continue for now.
Smart Bomb,PSP,May-10-2005,Core Design Ltd.,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,PSM Magazine,60,Had potential but its ultimately too unpolished and player unfriendly for any but the most puzzle hardcore. [July 2005 p.88]
Catwoman,Xbox,Jul-20-2004,EA Games,Action Adventure | Modern,GameSpy,60,The elements were in place for a solid platforming title with a little hand-to-hand combat thrown in for good measure. Unfortunately a painfully annoying camera and some downright boring combat kept that from coming to fruition.
Earthworm Jim 2,Game Boy Advance,May-31-2002,Super Empire,Action | Platformer | 2D,Game Informer,65,With better action games out there for GBA I suggest leaving this earthworm to the fisherman. [Sept 2002 p.94]
Shadow the Hedgehog,PlayStation 2,Nov-15-2005,Sonic Team,Action | Platformer | 3D,IC-Games,53,The magic of the 2D versions have all but been lost in a search for technical accomplishment and it suffers terribly for it.
Crash: Mind Over Mutant,DS,Oct-7-2008,TOSE,Action | Platformer | Platformer | 3D | 3D,Game Chronicles,70,I will have to say that Crash: Mind Over Mutant is a very fun and innovative game that is easy to get into and play.
Battlestar Galactica,PC,Oct-23-2007,Auran,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,Jolt Online Gaming UK,55,This game is an unchallenging space shooter made a little more difficult with frustrating design and a terrible camera angle. Even if you’re a fan of the TV series we really cannot recommend a purchase.
Rodea the Sky Soldier,Wii U,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,Hobby Consolas,65,The new project from Sonic’s father Yuji Naka brings an adventure on sky pretty difficult to control with beautiful but simple landscapes and an amazing story. Sadly we expected more from the little robot Rodea.
Warriors: Legends of Troy,PlayStation 3,Mar-15-2011,Tecmo Koei Canada,Action | General | General,Video Game Talk,60,Warriors: Legends of Troy is a pretty impressive project from Tecmo-Koei Canada. It features an interesting storyline that provides a great backdrop for a video game as well as some well-done cutscenes and audio. However its repetitive gameplay is something that will turn a lot of people off even if it is more polished than its ever been.
Ford Bold Moves Street Racing,Xbox,Sep-25-2006,Razorworks Studios,Driving | Racing | GT / Street,Game Over Online,68,I came into it expecting something terrible given the reputation of past Ford games but I ended up with an above average game that didnt really screw anything up and actually featured innovation - so Im quite pleased with it.
Darkest of Days,Xbox 360,Sep-10-2009,8Monkey Labs,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,GamingExcellence,64,If Darkest of Days were a film it would make the rounds at festivals where flawed but interesting has its place. But there are no festivals in gaming outside of the ten games that get selected for spotlight every year at PAX.
The Scourge Project: Episodes 1 and 2,PC,Apr-9-2010,Tragnarion Studios,Action | Shooter | Shooter | First-Person | Sci-Fi | Arcade,Multiplayer.it,65,Far from being a masterpiece The Scourge Project: Episodes 1 and 2 for a budget price offers a single player campaign that lasts about five hours an interesting co-op mode for four players and a series of classic multiplayer competitive modes.
Sword of the Stars II: Lords of Winter,PC,Oct-28-2011,Kerberos Productions,Strategy | Turn-Based | General | Sci-Fi | Sci-Fi,GamingTrend,67,But if youre a person who doesnt want to wait around for patches and who likes a gaming experience you can glide into rather than struggle through I sadly suggest either giving this one a pass or at least giving it time to get patched up in time for a steep Steam sale.
Zoo Tycoon DS,DS,Oct-11-2005,Altron,Strategy | Tycoon | Management | Tycoon | Business / Tycoon,Game Informer,60,About as much fun as giving an elephant a suppository. [Jan 2006 p.157]
Watchmen: The End Is Nigh Part 2,PC,Jul-29-2009,Deadline Games,Action | Beat-'Em-Up | Beat-'Em-Up | 2D,Cheat Code Central,52,Just like the first entry this one doesnt try to escape from the simple button mashing combo street brawler.
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlayStation 4,May-24-2016,PlatinumGames,Action | Beat-'Em-Up | 3D,Game Informer,60,Fighting moving and pulling off cooperative attacks as the Turtles is enjoyable but it’s difficult to find fun in the world and routine in which they exist.
Dinotopia: The Sunstone Odyssey,Xbox,Aug-5-2003,Vicious Cycle,Action Adventure | Fantasy,TeamXbox,56,For younger gamers it tries to offer some valuable lessons about respect for others and responsibility but the message seems to be clouded by all the pointless side missions and mindless monologues of other characters.
Superman: The Man of Steel,Xbox,Nov-19-2002,Circus Freak,Action | Beat-'Em-Up,Official Xbox Magazine,58,The gameplay however suffers from severe redundancy. [Jan 2003 p.83]
