title , platform , release_date , developer , genres , reviewer , metascore , review
Dance Dance Revolution Universe 2,Xbox 360,Dec-4-2007,Konami,Action | Miscellaneous | Rhythm | Dancing | Dancing,IGN,57,The stake through the heart of Dance Dance Revolution Universe 2 is its refusal to adapt new gameplay mechanics or inventive modes. We’ve been playing the same DDR for the last ten years and it’s high time that gamers stood up and demanded an overhaul of the formula.
Genesis Alpha One,PlayStation 4,Jan-29-2019,Radiation Blue,Action | Shooter | First-Person | Arcade,PLAY! Zine,55,Monotone missions and uninventive enemies combined with bad AI makes this game more of a chore than enjoyment.
Dr. Luigi,Wii U,Dec-31-2013,Arika | Nintendo,Miscellaneous | Puzzle | Stacking,Gameblog.fr,60,Dr. Luigis methods are closely based on Dr. Marios proven experiences but he dares to develop his own therapy through signature pills. This innovative approach speeds up the virus eradication even though it has secondary effects as the versus battles show. Its just a shame that only two players can benefit this treatment since the fun provided is really contagious.
Armored Core 4,Xbox 360,Mar-20-2007,From Software,Simulation | Sci-Fi | Vehicle | Mech | Mech | Combat,Jolt Online Gaming UK,65,Series veterans will love the endless customisation four-on-four multiplayer battles and blindingly fast combat but even the most loyal fan will wonder why Armored Core 4 couldn’t have been so much more than it is.
Kill la Kill: IF,Switch,Jul-26-2019,Studio TRIGGER | Aplus,Action Adventure | General | Action | Fighting | 3D,ZTGD,60,Kill la Kill The Game: IF is a unique title for sure. It lacks depth and breadth but makes up for it in wackiness and style. Fans of the anime will likely enjoy it but fighting game fans in general will most likely pass this one by. There just isn’t enough here to make it stand out among the crowd. One thing I can say about it though is that nothing is ever likely to be as bonkers as far as fighting games go…oh who am I kidding?
NASCAR 09,PlayStation 3,Jun-10-2008,EA Games,Driving | Racing | Simulation | Stock Car | Stock Car | Automobile,VideoGamer,60,Its hard to recommend the PS3 version though. With its slow frame rate and other graphical glitches its nowhere near as polished as the Xbox 360 game making this yet another port that hasnt been given enough care and attention.
Mazes of Fate,Game Boy Advance,Dec-6-2006,Sabarasa Entertainment,Role-Playing | Console-style RPG,NintendoWorldReport,65,Despite some good aspects I cant recommend Mazes of Fate unless youre willing to tolerate a half-decent game for 20 hours.
198X,Switch,Jan-23-2020,Hi-Bit Studios,Action | Miscellaneous | Platformer | Party / Minigame | 2D,Gaming Age,58,As I said if you have an emotional connection to the era 198X may be exactly what you need in your life. But if you don’t pine for the ‘80s and arcades as a stand-in for your lost youth then 198X probably isn’t something you need to play.
SingStar Celebration,PlayStation 4,Oct-24-2017,Sony Interactive Entertainment,Action | Rhythm | Music,Multiplayer.it,70,Thanks to the new smartphone app integration everyone can jump into SingStar Celebration and start singing during your karaoke party.
Pro Cycling Manager Season 2013: Le Tour de France - 100th Edition,PC,Jun-20-2013,Cyanide,Alternative | Biking | Sports | Individual | Biking,IGN Italia,55,The console version of Le Tour De France 2013 tries to simplify gameplay too much by cutting away almost any managerial aspect and has some annoying technical issues especially in terms of frame rate. Its a mediocre game plain and simple.
