title , platform , release_date , developer , genres , reviewer , metascore , review
Call of Juarez: The Cartel,PlayStation 3,Jul-19-2011,Techland,Action | Shooter | Shooter | First-Person | Historic | Modern | Modern | Arcade,XGN,45,Although Techland brings some nice ideas into the Call of Juarez universe the game ultimately fails to deliver because of a way too typical story dated graphics loads of bugs and a total misunderstanding of the concept Wild West. The Cartel is a major step back for the franchise and we would have been better off without it.
Dead Horde,PC,Jul-27-2011,DNS Development,Action Adventure | Horror,XGN,40,Dead Horde is a game that is riddled with bugs that could have been easily prevented. Sure the graphics are good and the co-op is pretty fun but the gameplay gets very boring very fast.
Mr. Driller Online,Xbox 360,Apr-2-2008,Namco Bandai Games,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,Giant Bomb,40,Unfortunately Mr. Driller Online is plagued by a meager selection of gameplay modes and bug-ridden online play that keep it from being worth the $10 price tag.
Infinity Runner,PlayStation 4,Apr-21-2015,Wales Interactive Ltd.,Action | General,We Got This Covered,50,Infinity Runner for better and worse is a standard uneventful running game made for a console instead of a mobile device. It’s repetitive simplistic and meandering – but that may just be the diversion you’re seeking.
Grooverider Slot Car Thunder,Xbox,Sep-26-2003,King of the Jungle,Driving | Racing | Arcade,IGN,45,This is the very definition of a budget racer and I dont mean that in a good way. Basic arcadey track designs mix with stupidly simple controls and poor graphics for an end experience that falls somewhere below the average.
Generation Zero,PlayStation 4,Mar-26-2019,Avalanche Studios,Action Adventure | Open-World,Jeuxvideo.com,45,Generation Zero stumbles on its own concept et never achieves to find balance between shooter and survival. Repetitive and dull it does have some ideas but they don’t have enough impact to hide all the flaws.
Hard Truck: Apocalypse,PC,Jun-26-2006,Buka Entertainment | Targem Games,Simulation | Driving | Car Combat | Car Combat | Vehicle | Combat,GameSpot,44,Hard Truck: Apocalypse takes an interesting premise and strips away all but the most mundane elements leaving you to drive down a long and unexciting road to nowhere.
Hard Rock Casino,PlayStation 2,Nov-27-2006,Farsight Studios,Miscellaneous | Parlor | Gambling,AceGamez,40,Hard Rock Casino is a poor game that could have been thoroughly enjoyable; however the lack of polish presentation and playability make this a game I simply cannot recommend. I like to make a bet every now and again but place your money on Hard Rock Casino and youre backing a guaranteed loser.
Hyperdimension Neptunia,PlayStation 3,Feb-15-2011,Idea Factory | Compile Heart,Role-Playing | General | General | Japanese-Style,GamesRadar+,50,Its slow-paced combat and exploration weak visuals and plodding plot leave a lot to be desired.
Bravo Team,PlayStation 4,Mar-6-2018,Supermassive Games,Action | Shooter | First-Person | Arcade,PSX-Sense.nl,45,A shooter with a lot of potential which turns out to be a soulless repetitive and boring husk of a game. Graphically it looks alright and shooting stuff up is fun for a while but youll soon be thinking about better things you could have been doing instead. The immersion is completely broken due to not being able to move around freely. While conceptually a great idea Bravo Teams execution falls short and that is a shame.
Rodea the Sky Soldier,3DS,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,Nintendojo,42,I wouldn’t say it was a mistake to bring Rodea to 3DS but the game is so rough that it either needed more time in development or the handheld was incapable of fully handling Naka’s vision. For fans of the creator’s previous works and players who enjoy 3D adventure titles Rodea is worth a look but be prepared to fight with it in order to get any enjoyment out of the game.
Smart Bomb,PSP,May-10-2005,Core Design Ltd.,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,GameZone,42,The biggest thing that make this game get such a low score is non-responsive controls and framerate issues will make you want to slam your precious PlayStation Portable against a brick wall.
Catwoman,Xbox,Jul-20-2004,EA Games,Action Adventure | Modern,XGP Gaming,43,Basically theres nothing to like about Catwoman outside of the graphics. At the very most the game deserves a rental.
Earthworm Jim 2,Game Boy Advance,May-31-2002,Super Empire,Action | Platformer | 2D,GameZone,55,There are so many bugs in this game that at times it is unplayable and futile to even attempt to do so.
Shadow the Hedgehog,PlayStation 2,Nov-15-2005,Sonic Team,Action | Platformer | 3D,Jolt Online Gaming UK,41,Shadow the Hedgehog is awful. Stay away from it.
Crash: Mind Over Mutant,DS,Oct-7-2008,TOSE,Action | Platformer | Platformer | 3D | 3D,Cheat Code Central,46,Mind Over Mutant gets more wrong than it gets right leaving anyone who picks up the game with nothing more than the aching feeling of buyer’s remorse.
Battlestar Galactica,PC,Oct-23-2007,Auran,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,IGN,51,This is a waste of a property that could be great game fare.
Rodea the Sky Soldier,Wii U,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,IGN Italia,40,Rodea the Sky Soldier on Wii U is a good idea but a broken game with a frustrating control scheme. Visually its a game of almost a decade ago. Forget it.
Warriors: Legends of Troy,PlayStation 3,Mar-15-2011,Tecmo Koei Canada,Action | General | General,Destructoid,40,Warriors of Troy just about delivers some simple button mashing action without too much fuss but hack n slash fans would do best to wait for Dynasty Warriors 7. That game sports more character in a single trailer than this does in the entire experience.
Ford Bold Moves Street Racing,Xbox,Sep-25-2006,Razorworks Studios,Driving | Racing | GT / Street,GamingExcellence,40,Fan boys will get theyre fix and thats about the extent of FBMs scope providing little to none entertainment value past the first 30 minutes.
Darkest of Days,Xbox 360,Sep-10-2009,8Monkey Labs,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,Gamers' Temple,44,Long load times and limited magazines feel more like a cheap way to pad the games length than to capture an historic feel especially when these weapons are far more accurate at a far greater range in the game than their real-world counterparts ever were.
The Scourge Project: Episodes 1 and 2,PC,Apr-9-2010,Tragnarion Studios,Action | Shooter | Shooter | First-Person | Sci-Fi | Arcade,Absolute Games,41,The Scourge Project is a perfect example of how an inexperienced developer bit more than they could chew. They wanted to create a multi-platform action title with a great story and a four-player cooperative gameplay but made a threepenny whangdoodle instead.
Sword of the Stars II: Lords of Winter,PC,Oct-28-2011,Kerberos Productions,Strategy | Turn-Based | General | Sci-Fi | Sci-Fi,PC Gamer,43,A beautiful but baffling space strategy game. Bugs and bewildering menus make for a frustrating and very missable experience.
Zoo Tycoon DS,DS,Oct-11-2005,Altron,Strategy | Tycoon | Management | Tycoon | Business / Tycoon,Gaming Target,45,There is certainly enough content here but the poor controls and graphics dont give players any incentive to check it out.
Watchmen: The End Is Nigh Part 2,PC,Jul-29-2009,Deadline Games,Action | Beat-'Em-Up | Beat-'Em-Up | 2D,1UP,42,As a stand-alone download its a short rendition of the Watchmen brawler experience that features more low points than high points -- but with an admittedly awesome moment of Rorschach punching a fat pervert.
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlayStation 4,May-24-2016,PlatinumGames,Action | Beat-'Em-Up | 3D,Atomix,45,The first 15 minutes looked promising with an interesting combat system sealed by the Platinum Games experience the rest of the game is half cooked with random repetitive and boring elements that leaves this new Turtle’s adventure as a game that you will not have to play.
Dinotopia: The Sunstone Odyssey,Xbox,Aug-5-2003,Vicious Cycle,Action Adventure | Fantasy,GameSpot,47,Tries very hard to capture the atmosphere and style of the Dinotopia books but for the most part it just isnt a lot of fun to play.
Superman: The Man of Steel,Xbox,Nov-19-2002,Circus Freak,Action | Beat-'Em-Up,Yahoo!,40,The ridiculous frustration in the early levels will deplete most gamers patience.
ESPN National Hockey Night,PlayStation 2,Mar-25-2001,Kush Games,Sports | Traditional | Ice Hockey | Sim,GamerWeb Sony,40,Lifeless and mundane hits atrocious control impossible scoring non-existent defense and offense set-ups and jerky flawed replays that happened WAY too fast and youve got a game that is seriously lacking in the gameplay category.
Watchmen: The End Is Nigh Part 2,Xbox 360,Aug-26-2009,Deadline Games,Action | Beat-'Em-Up | Beat-'Em-Up | 2D,Official Xbox Magazine,45,Over in just two to three hours. [Nov 2009 p.78]
Hummer Badlands,Xbox,Apr-14-2006,Eutechnyx,Driving | Racing | Rally / Offroad,GameSpot,43,The racing is boring and way too easy the physics are bouncy and unrealistic the rubber-band artificial intelligence is ridiculous and you can easily beat every race in the game in a couple hours.
TMNT: Mutant Melee,GameCube,Mar-16-2005,Konami Computer Entertainment Hawaii,Action | Fighting | 3D,GameSpot,43,This is an incredibly slapdash and barren game that has absolutely nothing to offer you beyond monotonous almost-broken fighting mechanics tiny environments and a bunch of lame unlockables.
Last Rebellion,PlayStation 3,Feb-23-2010,Hit Maker,Role-Playing | Action RPG | Console-style RPG | Console-style RPG | Japanese-Style,GamingTrend,45,If this were a PSP game I may be able to overlook a lot of these short comings but as a PS3 game Last Rebellion is disappointing.
