title , platform , release_date , developer , genres , reviewer , metascore , review
Dance Dance Revolution Universe 2,Xbox 360,Dec-4-2007,Konami,Action | Miscellaneous | Rhythm | Dancing | Dancing,Console Monster,39,The Bemani series is like a vampire that just wont die. However much Konami drives a stake through its heart with extremely poor graphics and un-original gameplay which literally bleed it dry.
Genesis Alpha One,PlayStation 4,Jan-29-2019,Radiation Blue,Action | Shooter | First-Person | Arcade,DualShockers,45,Gathering the necessary resources to fulfill a Genesis mission can take a lot of time especially if you end up getting pushed back by hostile invasions. There is a base sense of joy to be had from making the numbers go up but I never completed a Genesis mission and I doubt whatever feeling or reward it gives was worth the effort to reach it. I think it is more than enough to say I have no interest in playing more of it just to confirm what I already know: it’s not great.
Dr. Luigi,Wii U,Dec-31-2013,Arika | Nintendo,Miscellaneous | Puzzle | Stacking,NowGamer,40,Dr Luigi is a solid example of the Tetris-like puzzler but doesnt do anywhere near enough to justify the price of admission.
Armored Core 4,Xbox 360,Mar-20-2007,From Software,Simulation | Sci-Fi | Vehicle | Mech | Mech | Combat,1UP,40,AC4 feels like a house thats been added onto so often that its a maze of twisting passages oddly shaped rooms and doors that go nowhere. There may be something worthwhile hidden within but its not worth the effort to find it. Time to tear it all down and start over.
Kill la Kill: IF,Switch,Jul-26-2019,Studio TRIGGER | Aplus,Action Adventure | General | Action | Fighting | 3D,Cubed3,50,Kill la Kill the Game: IF has fun gameplay and a very appealing visual style but it is let down by its inaccessible story mode and lack of content to incentivise prolonged play. The small cast of characters is forgivable because of how unique and fun each one is to play but its difficult to justify buying this at the full retail price when it runs so light on content. Nevertheless the fanservice and unmistakable Kill la Kill flair is likely to delight fans but aside from a few amusing unlockables in the gallery mode there is little to sustain them beyond playing online.
NASCAR 09,PlayStation 3,Jun-10-2008,EA Games,Driving | Racing | Simulation | Stock Car | Stock Car | Automobile,Playstation Official Magazine UK,30,Another below-par racer that makes turning left every five seconds exactly as exhilarating as it sounds. [Sept 2008 p.103]
Mazes of Fate,Game Boy Advance,Dec-6-2006,Sabarasa Entertainment,Role-Playing | Console-style RPG,Digital Entertainment News,40,You can find better RPGs for the GBA period. Its something of a diamond in the rough its just a bit too rough to recommend.
198X,Switch,Jan-23-2020,Hi-Bit Studios,Action | Miscellaneous | Platformer | Party / Minigame | 2D,Metro GameCentral,50,A mawkish attempt to glorify the 80s that features some gorgeous visuals and music but offers no real insight into the era’s culture or games.
SingStar Celebration,PlayStation 4,Oct-24-2017,Sony Interactive Entertainment,Action | Rhythm | Music,PLAY! Zine,30,Singstar wants to be karaoke for PS4 but with its very limited song list on the disk and a huge paid DLC library you would do best to find a different karaoke solution. Think YouTube.
Pro Cycling Manager Season 2013: Le Tour de France - 100th Edition,PC,Jun-20-2013,Cyanide,Alternative | Biking | Sports | Individual | Biking,Gamer.nl,40,A new Tour de France a new Pro Cycling Manager 2013. It almost seems to be a copy of the previous game. And a copy of the one that came out before that with the footnote that it has a few very nasty bugs. Hopefully Cyanide understands that they will have to go all out next year.
Warhammer 40000: Inquisitor - Martyr,PlayStation 4,Aug-23-2018,Maximum Games,Strategy | Real-Time | General,GameSpew,50,If you’re dedicated to Warhammer 40000’s world you may get some joy out of this but Warhammer 40000: Inquisitor – Martyr is anything but to-die-for.
The Baconing,PlayStation 3,Aug-30-2011,Hothead Games,Action | Role-Playing | Platformer | Action RPG | 3D,Gaming Age,33,It certainly feels like this game was made to hit a deadline rather than grow the franchise. I couldnt help but think it was a money-grab title.
Dragon Ball: Revenge of King Piccolo,Wii,Oct-20-2009,Media Vision,Action | Adventure | General | General | Beat-'Em-Up | 2D,Games Master UK,40,Can we have it this simple but a bit bigger? [Dec 2009 p.87]
Heavy Weapon: Atomic Tank,PlayStation 3,Jun-11-2009,PopCap,Action | Shooter | Shooter | Scrolling | Scrolling | Shoot-'Em-Up | Vertical,PS3bloggen.se,50,This is a perfect time killing game. It is simple and relatively minimalistic yet strangely entertaining if you overlook its core gameplay. Heavy Weapon was originally designed for the web and it shows as it utilizes very little of the power the PS3 has to offer. Sadly the web is really where this game belongs not on a cutting edge gaming machine. Save your money pal.
Skelattack,PlayStation 4,Jun-2-2020,Ukuza,Action | Platformer | 2D,IGN Spain,50,Skelattack is a game with good ideas but poor execiution. The mechanics are flawed and originality doesnt exist. However the art saves the dishes a bit and offers some charisma.
Fragments of Him,PlayStation 4,Sep-26-2017,Sassybot,Adventure | Visual Novel,Gameblog.fr,50,Fragments of Him feels like an incomplete package a short and quite disappointing experience that fails to go satisfyingly deeper in its character development and to move us.
Tears to Tiara II: Heir of the Overlord,PlayStation 3,Oct-14-2014,Aqua Plus,Real-Time | Fantasy | Strategy | Adventure | Turn-Based | Visual Novel | General,CalmDownTom,40,The more that a tactics game relies on story than gameplay the more it betrays a lack of self-confidence in the ability of its mechanics to sell the game. It’s the equivalent of an 80s B-Movie that is selling you on its cover art alone.
Band Hero,DS,Nov-3-2009,Vicarious Visions,Action | Miscellaneous | Rhythm | Music | Music,GamePro,40,As for the game itself I like to call it Band Hero: Abridged. The set list is varied fun and up to date with tunes from Avril Lavigne to The Rolling Stones. However without a career mode you have access to all 30 songs from the start.
Aven Colony,PC,Jul-25-2017,Mothership Entertainment,Strategy | Management | Government,Polygon,50,I spent the equivalent of a working week playing Aven Colony and it was hard labor. This is a game of relentless concentration and chore-work with only the briefest flashes of magic and relief offering almost nothing new to the city building or resource management genres.
Dedede's Drum Dash Deluxe,3DS,Aug-29-2014,HAL Labs,Action | Miscellaneous | Rhythm | Music,Impulsegamer,40,Unfortunately Drum Dash Deluxe is neither deep nor long enough to be worth the $7 asking price it stands at currently.
Antigraviator,PC,Jun-6-2018,Iceberg Interactive,Racing | Arcade | Futuristic,4Players.de,33,This is more a tech demo than a coherent game - stay away until it is fixed.
Obscure,PlayStation 2,Apr-6-2005,Hydravision,Action Adventure | Horror,Official U.S. Playstation Magazine,40,Maneuvering and combat are both very clumsy and the whole game leaves you wondering about the choices the game designers made. [June 2005 p.95]
How to Survive: Storm Warning Edition,PlayStation 4,Nov-4-2014,EKO Software,Action Adventure | Horror | Survival,Playstation Official Magazine Australia,55,Fun in small doses with a mate otherwise monotonous ugly and done better elsewhere. [January 2015 p82]
Sengoku Basara: Samurai Heroes,Wii,Oct-12-2010,Capcom,Action | Beat-'Em-Up | Beat-'Em-Up | 2D | 3D,GameSpot,45,Shallow mindless hack-and-slash action makes this a crushingly tedious slog through an anachronistic version of 16th-century Japan.
Bee Movie Game,PlayStation 2,Oct-30-2007,Beenox,Action | General,GamesRadar+,50,Dont force us to play the minigames to expand the already-uninspiring campaign. Its sloppy game design and it drags Bee Movie Game even further into the mud.
Crash of the Titans,Xbox 360,Oct-4-2007,Radical Entertainment,Action | General | General,Official Xbox Magazine UK,50,A loose kids game that could do with some titaning up. [Dec 2007 p.90]
NHL 08,PC,Sep-11-2007,EA Canada,Sports | Traditional | Team | Ice Hockey | Sim | Sim,PC Gamer,35,EA Sports has once again screwed PC owners over with a cut-rate edition of one of its big fall sports games and NHL 08 is even more of a disappointment than its football and golf comrades. [Holiday 2007 p.83]
Gladiator: Sword of Vengeance,PlayStation 2,Nov-5-2003,Acclaim Studios Manchester,Action | Beat-'Em-Up,Official U.S. Playstation Magazine,40,At certain points you simply feel total frustration - you just wanna stop playing sometimes. Of course youre better off never starting at all. [Dec 2003 p.162]
