title , platform , release_date , developer , genres , reviewer , metascore , review
Call of Juarez: The Cartel,PlayStation 3,Jul-19-2011,Techland,Action | Shooter | Shooter | First-Person | Historic | Modern | Modern | Arcade,Worth Playing,40,Truly this game is a disappointment on nearly every level.
Dead Horde,PC,Jul-27-2011,DNS Development,Action Adventure | Horror,CD-Action,30,You cant come up with an idea for an interesting varied gameplay your budget is very limited and your breathtaking script is being digested by a dog? Dont worry – just make another mediocre zombie game and publish it on Steam. Someone will buy it. [September 2011 p.73]
Mr. Driller Online,Xbox 360,Apr-2-2008,Namco Bandai Games,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,X-ONE Magazine UK,30,Take the thing online (that is the name of the game after all...) and the results are truly beyond atrocious. [Issue#33 p.116]
Infinity Runner,PlayStation 4,Apr-21-2015,Wales Interactive Ltd.,Action | General,SpazioGames,40,Infinity Runner is a failure from every point of view. Born as a PC game and also available on PS4 it hasnt definitely found its place in the market.
Grooverider Slot Car Thunder,Xbox,Sep-26-2003,King of the Jungle,Driving | Racing | Arcade,Cheat Code Central,40,Slot car racing is bloody boring enough without have to replicate it in a videogame. Whats next? Snail racing?... It stinks.
Generation Zero,PlayStation 4,Mar-26-2019,Avalanche Studios,Action Adventure | Open-World,Gaming Age,33,If you’re the sort of person who enjoys aimless wandering but doesn’t like the idea of getting up off the couch and actually doing it then you might be in luck here. Otherwise don’t bother because it’s absolutely not worth it.
Hard Truck: Apocalypse,PC,Jun-26-2006,Buka Entertainment | Targem Games,Simulation | Driving | Car Combat | Car Combat | Vehicle | Combat,Digital Entertainment News,40,Nuclear holocaust survivors in a post-apocalyptic world filled with people wearing clown masks may find Hard Truck: Apocalypse to be an effective training tool but anyone looking for a good game should look elsewhere.
Hard Rock Casino,PlayStation 2,Nov-27-2006,Farsight Studios,Miscellaneous | Parlor | Gambling,GamesRadar+,30,Realistic? Yes. Fun? Not one bit. Whats worse is that you have to sit and listen to the other fake players talk smack at the tables with the same four lines of speech. Youll be wise to quickly run to the Options menu and turn the sound off.
Hyperdimension Neptunia,PlayStation 3,Feb-15-2011,Idea Factory | Compile Heart,Role-Playing | General | General | Japanese-Style,GameWatcher,30,Theres precious little to recommend here outside of the occasionally cutesy over-sexed anime visuals and comedy wobbling breasts.
Bravo Team,PlayStation 4,Mar-6-2018,Supermassive Games,Action | Shooter | First-Person | Arcade,Digitally Downloaded,40,As a demo it actually works; when I played it for ten minutes in a controlled environment last year I came away quite impressed with it. But those first ten minutes are Bravo Teams limit and Sony should have realised this and pulled the plug on the project as a commercial game a long time ago.
Rodea the Sky Soldier,3DS,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,Nintendo Enthusiast,40,If you are a huge fan of NiGHTS it’s worth picking up at a discounted price because there is some fun to be had here: just the fun moments are few and far between.
Smart Bomb,PSP,May-10-2005,Core Design Ltd.,Miscellaneous | Puzzle | Puzzle | General | Puzzle | General,Official U.S. Playstation Magazine,30,My advice to the developers is next time skip the shaking the timers and the laughable cinemas and spend more time polishing and testing. [June 2005 p.101]
Catwoman,Xbox,Jul-20-2004,EA Games,Action Adventure | Modern,GamerFeed,40,This game certainly has some really great graphics and animations but it comes up short on being able to keep things moving at an enjoyable pace not to mention that its very difficult to control.
Earthworm Jim 2,Game Boy Advance,May-31-2002,Super Empire,Action | Platformer | 2D,Play Magazine,40,Doesnt anyone anywhere give a rats ass about this franchise anymore? [Aug 2002 p.76]
Shadow the Hedgehog,PlayStation 2,Nov-15-2005,Sonic Team,Action | Platformer | 3D,GamePro,40,For all the consternation about a gun-toting enigma invading a kid-friendly video-game series the only thing to fear in Segas Shadow the Hedgehog is the games slap-dash excution. [Mar 2006 p.80]
Crash: Mind Over Mutant,DS,Oct-7-2008,TOSE,Action | Platformer | Platformer | 3D | 3D,NintendoWorldReport,40,Crash: Mind Over Mutant is a competent platformer. While it leaves much to be desired in terms of depth and level design fans of the titular Bandicoot or starved DS platform lovers may enjoy it. Others should pass this one by.
Battlestar Galactica,PC,Oct-23-2007,Auran,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,PC Gamer UK,22,This cheap tacky space combat sim is a stinking mess insulting the name of the series merely by presuming to associate itself with it. [Mar 2008 p.83]
Rodea the Sky Soldier,Wii U,Nov-10-2015,Prope | Kadokawa,Action | Platformer | 3D,Cubed3,40,Rodea the Sky Soldier is simply a game that really needed more time and a course correction. A lot of promising concepts are seen and experienced throughout but the flying and Sonic homing-style combat would have been executed so much better with a bit more polish.
Warriors: Legends of Troy,PlayStation 3,Mar-15-2011,Tecmo Koei Canada,Action | General | General,GameOver.gr,40,It may be surprisingly faithful to the original transcripts even if it gives very little information regarding the Trojan War but that is the only positive aspect of this new western oriented button masher from Koei. This recreation of Homers Epic is extremely shallow and repetitive offering nothing new to the genre.
Ford Bold Moves Street Racing,Xbox,Sep-25-2006,Razorworks Studios,Driving | Racing | GT / Street,IGN,35,But its worthless and Eidos knows it. The game design is so transparent the goal behind the game is so obvious the lack of any morsel of fun is so far from the car and tracks and the playing of it…its just exasperating. This is pure bargain bin trash.
Darkest of Days,Xbox 360,Sep-10-2009,8Monkey Labs,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,TeamXbox,38,While the story had potential for creating a cool juncture between history and science fiction there’s very little flexing of those muscles in the actual product.
The Scourge Project: Episodes 1 and 2,PC,Apr-9-2010,Tragnarion Studios,Action | Shooter | Shooter | First-Person | Sci-Fi | Arcade,Edge Magazine,30,Plays unbearably clumsily. [June 2010 p.104]
Sword of the Stars II: Lords of Winter,PC,Oct-28-2011,Kerberos Productions,Strategy | Turn-Based | General | Sci-Fi | Sci-Fi,CPUGamer,30,Bottom line is that on paper this is an incredibly deep and varied game but time and again the reach of the programmers vastly exceeds their grasp. Even months after release theres so little in this game thats working as intended that only the most desperate die-hard fan of the genre should even consider this game.
