title , platform , release_date , developer , genres , reviewer , metascore , review
Dance Dance Revolution Universe 2,Xbox 360,Dec-4-2007,Konami,Action | Miscellaneous | Rhythm | Dancing | Dancing,Worth Playing,62,When it comes right to down it DanceDanceRevolution: Universe 2 is the type of game that only series fans will love. If your idea of a fun evening is laying down a dance pad and stomping around until the downstairs neighbors call the cops then this title is right up your alley. However if you are not nor have you ever been a professional dancer theres very little here to make this title worth your time.
Genesis Alpha One,PlayStation 4,Jan-29-2019,Radiation Blue,Action | Shooter | First-Person | Arcade,Everyeye.it,60,Not always fascinating.
Dr. Luigi,Wii U,Dec-31-2013,Arika | Nintendo,Miscellaneous | Puzzle | Stacking,Gamereactor Sweden,60,Germ fighting with Luigi offers good fun but Dr Luigi is way over prized and you can easily get more and better similar puzzle games for less than a dollar/euro. This is just not worth the cost for Wii U it doesnt have enough content.
Armored Core 4,Xbox 360,Mar-20-2007,From Software,Simulation | Sci-Fi | Vehicle | Mech | Mech | Combat,Game Informer,65,Multiplayer is what’s really going to get the fans riled. After fine-tuning your ideal mech in single player you can bring it online and face off against anywhere from one to seven opponents. Unfortunately there’s not a whole lot of match variety outside of deathmatch and team deathmatch and there’s no respawning so matches don’t last much longer than five minutes tops.
Kill la Kill: IF,Switch,Jul-26-2019,Studio TRIGGER | Aplus,Action Adventure | General | Action | Fighting | 3D,PLAY! Zine,60,For the fans of the Kill la Kill anime this would be a great and fun game to have and play with friends. Its button mashy system and crazy action are well presented. But lack of playable characters and high price tag drag it down for now.
NASCAR 09,PlayStation 3,Jun-10-2008,EA Games,Driving | Racing | Simulation | Stock Car | Stock Car | Automobile,Game Chronicles,63,Yes there are a lot of features that really make this game fun and interesting but there are a lot of other racing games that will hold your interest longer and are more entertaining.
Mazes of Fate,Game Boy Advance,Dec-6-2006,Sabarasa Entertainment,Role-Playing | Console-style RPG,IGN,65,Its a game built for the fans that grew up playing classic games on early computers. For many gamers it may be a title their father will find more interesting than they do.
198X,Switch,Jan-23-2020,Hi-Bit Studios,Action | Miscellaneous | Platformer | Party / Minigame | 2D,Vooks,60,Ultimately I did enjoy my time with 198X. Much like my own youthful trips to the arcade it dazzled me briefly but cuts itself short before delivering a substantial experience. What it does succeed at though is decorating itself in a pastiche of ‘80s arcade hits with a brilliant aesthetic and authentic retro remakes. The $15 price isn’t outrageous but the short runtime might be enough to convince you to wait for a sale before pumping those hard-earned coins.
SingStar Celebration,PlayStation 4,Oct-24-2017,Sony Interactive Entertainment,Action | Rhythm | Music,Critical Hit,70,If this is a celebration then its a muted one. Im not sure Singstar will ever relive its glory days but Celebration is a decent karaoke game that doesnt need extra accessories and peripherals. Its fun and infinitely better than singing along to your favourite song on the radio pretending your hairbrush or potato peeler is a microphone.
Pro Cycling Manager Season 2013: Le Tour de France - 100th Edition,PC,Jun-20-2013,Cyanide,Alternative | Biking | Sports | Individual | Biking,Gamereactor Denmark,60,If you are crazy about the tour then Le Tour de France 2013 - 100th Edition is a decent take on the cycling sport. Unfortunately the mechanics of the game aren’t very well explained and even if it is fun at times managing your resources it never fulfills its potential.
Warhammer 40000: Inquisitor - Martyr,PlayStation 4,Aug-23-2018,Maximum Games,Strategy | Real-Time | General,PSX-Sense.nl,65,If youre looking for longevity then look no further. The lore is interesting enough to continue playing. The audiovisual design is well done and even though the game is pretty difficult newcomers wont be scared off by it. Technically there are plenty of issues. Frame rate hiccups long load times a copious amount of screen tearing and lacklustre matchmaking are our major gripes.
The Baconing,PlayStation 3,Aug-30-2011,Hothead Games,Action | Role-Playing | Platformer | Action RPG | 3D,Eurogamer Sweden,60,Deathspank: The Baconing is a fun game with first class humour that gets dragged down by repetitive combat. Brilliant in small doses though.
Dragon Ball: Revenge of King Piccolo,Wii,Oct-20-2009,Media Vision,Action | Adventure | General | General | Beat-'Em-Up | 2D,Nintendo Power,65,Its a shame that Revenge of King Piccolo becomes essentially a mediocre fighting game in the latter part of the adventure. [Dec 2009 p.88]
Heavy Weapon: Atomic Tank,PlayStation 3,Jun-11-2009,PopCap,Action | Shooter | Shooter | Scrolling | Scrolling | Shoot-'Em-Up | Vertical,Video Game Talk,60,If Heavy Weapon feels like an online Flash Game at any time you’ll be happy to know that it basically is. There’s fun to be had here for sure but it’s not the same type of fun that you get from a long epic story.
Skelattack,PlayStation 4,Jun-2-2020,Ukuza,Action | Platformer | 2D,Comicbook.com,60,Skelattack is a great-looking albeit completely frustrating game that will surely delight and infuriate folks. Even though I tossed my controller aside more than once in my playthrough I can’t help but feel the allure to try again. I know I’m going to grunt and moan the entire time but the look and lore of this game are too much to ignore despite my complaints.
Fragments of Him,PlayStation 4,Sep-26-2017,Sassybot,Adventure | Visual Novel,DarkStation,60,If you can forgive the technical faux pas the somewhat creepy mannequin people the absence of any memorable music and the bare bones gameplay theres a fantastic story buried underneath the rubble. All of the characters are three dimensional and real the voice acting feels authentic and the writing is smart but never preachy. At its core Fragments of Him is just a poignant story of love and loss. It showcases Will and his partners relationship as normal and pedestrian. Its almost mundane. But this approach is all the more effective when something that should just be normal and average is treated as such. Based on the title of the game you can kind of assume where the narrative is likely heading to but the journey there while bumpy is one worth taking.
Tears to Tiara II: Heir of the Overlord,PlayStation 3,Oct-14-2014,Aqua Plus,Real-Time | Fantasy | Strategy | Adventure | Turn-Based | Visual Novel | General,Everyeye.it,65,Western tastes wont have an easy time connecting to this typically eastern product. In the end its more a visual novel than a truly interactive game and that calls for very specific tastes.
Band Hero,DS,Nov-3-2009,Vicarious Visions,Action | Miscellaneous | Rhythm | Music | Music,AtomicGamer,62,Overall Band Hero on the DS is a step in the wrong direction for portable music games. Theyve tried to go big on the peripheral front but in doing so theyve excluded a huge chunk of gamers in a wide range of ages.
Aven Colony,PC,Jul-25-2017,Mothership Entertainment,Strategy | Management | Government,Game World Navigator Magazine,65,Boring sandbox mode is partly compensated by the campaign: in each mission developers came up with new ways to complicate the life of the colonists while at the same time unraveling a story about the imminent end of the world and the search for alien artifacts. [Issue#223 p.60]
Dedede's Drum Dash Deluxe,3DS,Aug-29-2014,HAL Labs,Action | Miscellaneous | Rhythm | Music,FNintendo,60,Dededes Drum Dash Deluxe may not be plentiful as far as its contents are concerned but what is to be found here is entertaining enough to keep any kind of player happy throughout some quick gaming sessions.
Antigraviator,PC,Jun-6-2018,Iceberg Interactive,Racing | Arcade | Futuristic,DualShockers,65,Antigraviator is a no-holds-bar dedication to arcadey futuristic speed. But packing in more content would elevate the experience to something better.
Obscure,PlayStation 2,Apr-6-2005,Hydravision,Action Adventure | Horror,IncGamers,60,If you are sceptical of games that feature co-operative multi-character play you neednt worry too much; its handled reasonably well.
How to Survive: Storm Warning Edition,PlayStation 4,Nov-4-2014,EKO Software,Action Adventure | Horror | Survival,LaPS4,63,The great amount of walking dead related products in recent years seems endless. How to Survive takes its place among the zombie comics movies and TV shows mixing enough genres to work quite well even though it might be quite expensive for what it really is a PlayStation 3 game.
Sengoku Basara: Samurai Heroes,Wii,Oct-12-2010,Capcom,Action | Beat-'Em-Up | Beat-'Em-Up | 2D | 3D,3DJuegos,67,Sengoku Basara: Samurai Heroes gets the Dynasty Warriors formula and changes the face. It is extremely funny and it will attract the lovers of this genre but this game is really poor in IA lack in innovation and really repetitive and linear.
Bee Movie Game,PlayStation 2,Oct-30-2007,Beenox,Action | General,TotalPlayStation,65,Far far better than the odds would suggest and though its not all perfect whats there is certainly worth picking up if you enjoyed the movie and want something to play with the kids.
Crash of the Titans,Xbox 360,Oct-4-2007,Radical Entertainment,Action | General | General,GameZone,64,Save for the cooperative mode there’s not much here worthy of a gamer’s time that is devoted to buying and renting the best games.
NHL 08,PC,Sep-11-2007,EA Canada,Sports | Traditional | Team | Ice Hockey | Sim | Sim,NZGamer,61,A pretty average affair. Fun can be had if you’re really into your hockey but there are better games to choose from.
Gladiator: Sword of Vengeance,PlayStation 2,Nov-5-2003,Acclaim Studios Manchester,Action | Beat-'Em-Up,Gaming Age,58,If the gameplay was a little more involved with less button bashing and greater emphasis on using combos for effectiveness it would provide a more fufilling experience.
Harry Potter and the Sorcerer's Stone,PC,Nov-15-2001,KnowWonder,Action Adventure | Fantasy | General | Fantasy,GameSpy,68,The game runs poorly on just about any machine.
Stretch Panic,PlayStation 2,Aug-28-2001,Treasure,Action Adventure | Fantasy,Gaming Age,58,Here is proof that originality alone is not a basis for a fun game.
Off-Road Redneck Racing,PC,May-2-2001,Rage Software,Driving | Racing | Simulation | Rally / Offroad | Automobile,Computer Games Magazine,60,Provided you keep the sound on mute pump up the resolution and have a few hours to spare this is decent down-home motor madness served the finger lickin way.
