title , platform , release_date , developer , genres , reviewer , metascore , review
Fairy Tail,Switch,Jul-31-2020,Gust,Role-Playing | General,Nintenderos,85,Fairy Tail is the perfect adaptation to video game of the famous series of Hiro Mashima. With its strengths and weaknesses the title is still one of Gusts most ambitious productions to date and a game that every fan of Natsu and company will enjoy.
Final Fantasy Type-0 HD,PC,Aug-18-2015,Square Enix,Role-Playing | Action RPG,RPG Fan,85,A solid porting effort though one that shows Square Enix still has a little ways to go.
Dragon Age: Origins - Return to Ostagar,PC,Jan-13-2010,BioWare,Role-Playing | PC-style RPG | PC-style RPG | Western-Style,CPUGamer,90,The existence of a big-budget very traditional computer role-playing game (CRPG) alone makes Dragon Age: Origins a huge accomplishment.
Donkey Konga 2,GameCube,May-9-2005,Namco,Miscellaneous | Rhythm | Music,TotalGames.net,92,Menus arent quite so easy to navigate as they were previously but then thats only because theres so much more to do now and as trade-offs go this is one were quite happy to abide. [JPN Import]
NASCAR 09,Xbox 360,Jun-10-2008,EA Games,Driving | Racing | Simulation | Stock Car | Stock Car | Automobile,GameShark,91,NASCAR 2009 is a no-brainer purchase for fans of the sport but also offers a high quality experience that any racing fan can enjoy.
Fate/Extella: The Umbral Star,Switch,Jul-25-2017,Marvelous Inc.,Action | Beat-'Em-Up | 3D,Worth Playing,80,In the end Fate/Extella: The Umbral Star serves as a good appetizer for those who want some Musou action now. The action goes at an almost non-stop clip and theres rarely any time to breathe before you have to unleash triple-number combos again and again. Theres a ton of content to go over and while the story can be nonsensical at times it remains entertaining for those who arent averse to anime or a visual novel style of game. Overall Fate/Extella is a solid game to bide your time with while you await some of the bigger titles this year.
Crimsonland,Xbox One,Oct-14-2015,10tons Entertainment | 10tons,Action | Shooter | Shoot-'Em-Up | Top-Down,ZTGD,90,Crimsonland is now up there with Super Stardust HD as one of my favourite twin-stick shooters. It may not blow you away with the visuals but looks certainly don’t matter when it’s packing this much content. Added to the fact that the Xbox One version includes new content this is a must buy for fans of the genre and for those looking for a fun co-op experience.
Battle Princess of Arcadias,PlayStation 3,Jun-17-2014,ApolloSoft,Role-Playing | Action RPG,PSX Extreme,84,Battle Princess of Arcadias is a lot of things at once an action side scroller a JRPG and a strategy game. Mostly its just a great game made of simple familiar parts.
AO Tennis 2,Xbox One,Feb-11-2020,Big Ant Studios,Sports | Individual | Tennis,TheSixthAxis,80,AO Tennis 2 is a bright likeable tennis sim with bags of room to grow and as it stands is easily the best tennis game of this generation.
Nintendo Labo: Toycon 03 Vehicle Kit,Switch,Sep-14-2018,Nintendo,Miscellaneous | Party / Minigame,NintendoWorldReport,90,While the Variety Kit did provide some entertainment I felt that the replayability of that initial Labo came up short which led to my reduced enthusiasm in the product line. If you had a similar feeling to what I did don’t let that previous experience prevent you from trying out this new offering. Whether Nintendo learned some lessons during the first run or if the extra time in development allowed them to release a more polished experience I’m not sure. But what I do know is that the Labo Vehicle Kit is miles ahead of its predecessors and has made me excited again about the future of this franchise.
Tony Hawk's Downhill Jam,Wii,Nov-14-2006,Toys for Bob,Sports | Alternative | Individual | Skateboarding | Skateboarding | Skate / Skateboard,GamingTrend,92,With a great control scheme graphics that don’t look ported fantastic humor and a whole lot of races to complete this quality title is worthy of being a member of the Tony Hawk franchise. This is a safe Day-1 pickup for the Wii just make sure you buy the three spare Wiimotes for your friends!
DreamWorks Shrek SuperSlam,PC,Nov-1-2005,Shaba Games,Action | Beat-'Em-Up | Beat-'Em-Up | Fighting | 2D | 3D,PGNx Media,83,The game’s combat system is fundamentally solid with an excellent combo system that is actually much more in-depth than I originally suspected.
Octodad: Dadliest Catch,PlayStation 4,Apr-22-2014,Kevin Zuhn,Modern | Adventure | 3D | Third-Person | Modern,Digitally Downloaded,90,Even when the overall challenge of living a day in Octodad’s shoes bears too much weight the game is amusing enough to quell most of the frustration.
