title , platform , release_date , developer , genres , reviewer , metascore , review
Nine Parchments,PlayStation 4,Dec-12-2017,Frozenbyte | Inc.,Role-Playing | Action RPG,Video Chums,81,If youre looking for a cooperative twin-stick shooter then you cant do much better than Nine Parchments. The fantastical world and challenging yet rewarding gameplay is perfect for having a magical time with a few chums by your side.
Batman: The Enemy Within - Episode 2: The Pact,PlayStation 4,Sep-26-2017,Telltale Games,Adventure | Point-and-Click,PlayStation LifeStyle,85,The Pact is filled with uncomfortable moments that force the player to choose between the right thing and their cover. It also makes important moves to flesh out the season’s story arc and ends with an awesome teaser for episode three. Telltale Games is on a roll this season and The Enemy Within continues to be some of the developer’s best work.
How We Soar,PlayStation 4,Nov-29-2016,Penny Black Studios,Action | General,Push Square,80,Some minor iffy moments aside How We Soar is a beautifully relaxing game with tight presentation and some sound controls. A lovely concept thats really well executed this is another wonderful example of why virtual reality gaming represents the way forward and you should certainly check it out if you havent done so already.
Scratches,PC,Mar-8-2006,Nucleosys,Adventure | General | General | Point-and-Click,Just Adventure,100,They have really pulled out all the stops with their first effort and created one classic piece of Adventure gaming. Just don’t get too used to that luxury called sleep.
Ninja Gaiden 3: Razor's Edge,PlayStation 3,Apr-2-2013,Team Ninja,Action | Action Adventure | Platformer | General | Platformer | 3D | 3D,Digital Chumps,84,Razors Edge mixes up tradition in the Ninja Gaiden franchise enough to make it a worthy purchase. A great story (even with action cliches) gameplay improvements more dismemberments and online modes. Problems with the camera glitches and invisible walls still plague the series. At $40 there is plenty of value to consider this worthwhile.
PaRappa the Rapper,PSP,Jul-17-2007,Epics,Action | Miscellaneous | Rhythm | Music | Music,Play UK,88,Retains all the charm it had ten years ago. [Issue#155 p.84]
DreamWorks Voltron VR Chronicles,PlayStation 4,Sep-26-2017,Digital Domain,Action | General,GamingTrend,80,It would have been very easy for Digital Domain to make a low-effort Voltron knockoff but instead Voltron VR Chronicles feels like a small slice of the show brought to life. While it is a little short and the interactivity is somewhat basic if you are a fan this game is a must have. Next time just let us form Voltron and give us sword and shield VR controls to take out the next episode’s Robeast!
Still Life 2,PC,Aug-11-2009,GameCo,Adventure | General | General,Just Adventure,91,Still Life 2 despite its many faults draws you in puts you through the ringer and then spits you out like a wad of used gum at the end. I cant say its a great game -- too flawed and at times annoying for that -- but it does deliver the goods.
Rhiannon: Curse of the Four Branches,PC,Oct-5-2008,Arberth Studios,Adventure | 3D | First-Person | Modern | Modern,IGN,75,In spite of a few missteps Rhiannon: Curse of the Four Branches is a good-looking entertaining and well-made game especially considering the size of the dev team. Its the perfect title for people who dig history mystery and the paranormal not to mention people who like to think when they game.
Shadowrun,PC,May-29-2007,FASA Studio,Action | Shooter | Shooter | First-Person | Fantasy | Fantasy | Arcade,NTSC-uk,90,Underneath the hood is a well-honed constantly surprising beast and one that isn’t purely for FPS fans thanks to a generous degree of auto-aim that places much of the emphasis on tactics and intelligent usage of the tools at your disposal.
Sniper Elite III,PlayStation 4,Jul-1-2014,Rebellion,Shooter | Historic | Action | Shooter | Third-Person | Tactical | Historic,IGN,82,Sniper Elite IIIs open level designs and objectives pack in more than enough variety and stealthy tension to counterbalance its thin story and shaky enemy intelligence and experimenting with its explosive traps is almost as fun as popping skulls with a sniper rifle.
Outward,PC,Mar-26-2019,Nine Dots Studio,Role-Playing | Action Adventure | General | Survival | Open-World,PC Gamer,89,Outward is harsh and occasionally frustrating but it does what so few games do. It requires you to put real thought into the choices you make and it makes those choices feel like they really matter. Most of all it makes you approach each and every encounter as if your life depended on it—even though you never die.
The Town of Light,PlayStation 4,Jun-6-2017,LKA Interactive | LKA,Adventure | 3D | First-Person,Digitally Downloaded,100,I cannot thank the developer enough for The Town of Light. Not only are we beginning to acknowledge the injustices our ancestors committed we are exploring how to prevent it from happening again by telling these important stories instead of burying them.
DOOM 3 BFG Edition,PlayStation 3,Oct-16-2012,id Software,Action | Miscellaneous | Shooter | Compilation | First-Person | Sci-Fi,PSX-Sense.nl,85,Doom 3 is an old game and it definitely shows its age. If you however are willing to look past that obvious defect this game will prove that it is still just as nerve-wracking as it ever was.
