title , platform , release_date , developer , genres , reviewer , metascore , review
Unreal Championship 2: The Liandri Conflict,Xbox,Apr-18-2005,Epic Games,Action | Shooter | First-Person | Sci-Fi,Yahoo!,100,This isn't merely an evolution of the franchise -- this is Unreal with the dial turned up to 11.
The Outer Worlds,PlayStation 4,Oct-25-2019,Obsidian Entertainment,Role-Playing | Western-Style,Guardian,100,More than just Fallout in space this action-RPG is a delightful sci-fi romp with razor-sharp writing lashings of humour and enough content to entertain you for months.
Firewatch,Xbox One,Sep-21-2016,Campo Santo,Adventure | 3D | First-Person,IGN,93,It is among the very best of the first-person narrative genre and it reminds us what video game storytelling is capable of in the right hands. It’s a game I can see coming back to every year or two just to revisit its beautiful sights and memorable characters – just like a good book.
Battlefield 4,PlayStation 4,Nov-12-2013,EA DICE,Action | Shooter | Shooter | First-Person | Modern | Modern | Arcade,GameTrailers,95,Battlefield 4 is stout entry to the series and a strong addition to the PlayStation 4 launch lineup. As the first game to demonstrate the prowess of the Frostbite 3 engine its explosive debut indicates a promising future for its technology. Gear up and strap in Battlefield 4 sets the new standard for next-generation multiplayer.
Tom Clancy's Rainbow Six: Vegas,PC,Dec-12-2006,Ubisoft Montreal,Action | Shooter | Shooter | First-Person | Tactical | Modern | Modern,Computer Games Magazine,100,This is as good as gunplay has gotten in a videogame. [Mar 2007 p.60]
Super Street Fighter IV: 3D Edition,3DS,Mar-27-2011,Capcom,Action | Fighting | Fighting | 3D | 2D | 3D,GameShark,100,This is a full-featured port on a new platform and it is without question the best portable fighting game ever released.
City of Heroes,PC,Apr-27-2004,Paragon Studios | Cryptic Studios,Role-Playing | Massively Multiplayer Online | Massively Multiplayer | Modern | Modern,Stuff,100,Odds are this game will complete you. Spending hour after hour earning points to gain new abilities becomes a kind of subhuman mania.
Mass Effect 3: Special Edition,Wii U,Nov-13-2012,Straight Right,Action RPG | Role-Playing | Action RPG,Eurogamer Germany,100,It's not as special as the title suggests. But that doesn't make it any less – or more for that matter – of a brilliant game.
Castle Crashers,PlayStation 3,Aug-31-2010,The Behemoth,Action | Beat-'Em-Up | Beat-'Em-Up | 2D,1UP,91,My enthusiasm for the XBLA release was initially tempered by busted online play which took months to correct but the PSN version luckily lacks significant issues. Lag occasionally pops up and I've encountered a couple of issues connecting to matches but by and large it works -- and aside from having three friends in your living room playing online is the best way to experience Castle Crashers.
Pokemon Pearl Version,DS,Apr-22-2007,Game Freak,Role-Playing | Console-style RPG | Console-style RPG | Trainer,AtomicGamer,93,There are a metric buttload of Pokemon to catch and you'll be hard pressed to finish everything this game offers in under 100 hours much less 150 or maybe even 200.
